,Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA,SMA200P,SMA200CB,SMA300CB,ChloroSMA20,ChloroSMA40,ChloroSMA60,ChloroSMA80,NP40,AASTY645,AASTY650,AASTY1150,AASTY1145,AASTY80
0,P17066;P48741,P17066,Heat shock 70 kDa protein 6,HSPA6,71.027,41.09065657946551,42.066833488051174,32.41956710510573,26.997724663225426,36.23819482744083,41.605200106321064,53.50289222318453,38.835675969656556,36.465702197403594,36.97640073259916,100.0,40.2336110734049,37.76763641686679,47.938293854401714
1,Q9HBF4,Q9HBF4,Zinc finger FYVE domain-containing protein 1,ZFYVE1,87.175,65.8862445943057,100.0,17.50954682151739,41.190358124233526,0.061024378628632664,98.92120796062426,50.29549274423481,0.0,0.005196833489206574,4.807904302511384,0.2389963658144056,0.0,53.116735281399095,0.5299765349982799
2,P10809,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,61.054,100.0,37.316697792942136,40.837053122801606,40.62657695160428,31.019162294850254,24.640564618518475,12.465558701537805,99.59786733257407,57.50473254488458,69.16105715054594,27.135561175193335,65.15446819643256,44.8329396516443,85.61530630943727
3,P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,86.13604660631549,66.89331205985344,91.8041799823658,91.90490579847355,67.54926538723043,73.82926418509723,59.86026614284514,37.59537545481947,86.99949993372678,68.67382997866297,68.05422001113261,85.52342462678938,62.55909733136983,100.0
4,P11021,P11021,78 kDa glucose-regulated protein,HSPA5,72.332,100.0,76.45312846622274,51.4624496232026,46.57133709071572,86.59606535732324,75.97132497834733,72.705998377095,86.2036203784808,63.36571597762134,68.58491215065439,50.057705272997225,70.14854631585142,77.21252479430869,61.91785945669702
5,P25705;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,59.75,100.0,55.30946253884726,52.343568769492585,52.5667434096693,55.2851086729951,50.651988257371585,55.283662768524536,74.22242161768268,55.903827513693635,56.65610755286077,65.0229305074874,65.81773339347963,53.80076962883048,70.87744102596119
6,P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,73.68,100.0,33.79105122106479,42.38470277526581,47.61725612205875,36.49327378202575,35.64005063742772,31.230741340077245,70.58124319743723,42.11912107321198,53.151854895255724,44.996618276149356,51.227063052140444,35.724735126833494,62.948636778010126
7,P06576;H0YH81;F8W079;F8W0P7,P06576;H0YH81;F8W079,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,56.559,100.0,59.31494168620238,40.149416004848725,36.21823179236591,53.10738400289381,49.510886645815596,37.43387248204833,75.68658331417207,57.28504981719329,67.0297969214105,42.888837413163465,59.95002487593695,52.97413090030454,63.76057616132837
8,P06733;A0A2R8Y6G6,P06733;A0A2R8Y6G6,Alpha-enolase,ENO1,47.168,58.28720988828226,43.87257457731472,61.761131645904186,75.17553846520565,41.34259625064583,39.58954007402063,19.227142244505206,80.88574417400936,41.810984684721234,100.0,35.58972415722765,64.27201434507339,54.29820294185791,68.39735789971209
9,P68104,P68104,Elongation factor 1-alpha 1,EEF1A1,50.14,31.69075923580505,49.42060923083261,55.28837604515602,99.94572568424186,47.53215307836337,45.668973188850764,36.43537527669101,72.38445764345799,61.0736174505749,100.0,56.097090498229406,59.05906919870113,70.24424135598007,69.98497016622066
10,P08238;Q58FF7,P08238,Heat shock protein HSP 90-beta,HSP90AB1,83.263,42.14166240097201,58.0607936228208,48.97250379206327,40.4145541741815,53.2308684200424,61.97679468084899,42.72955255171724,57.61612868555566,41.52037817637284,100.0,67.23292329926072,68.3845607394912,71.78011710197552,51.500404428667025
11,P30101,P30101,Protein disulfide-isomerase A3,PDIA3,56.782,86.04986464728069,78.58595734061538,61.14623726069664,67.3838244173622,83.58533595128786,80.74156242233134,78.81955155118109,100.0,77.75882958314088,74.40606980887826,67.83816272878467,71.13773450631979,78.1741985379174,64.49916867807087
12,P07195,P07195,L-lactate dehydrogenase B chain,LDHB,36.638,54.18936407233619,40.63601545087889,61.865394355591455,71.99881732083162,50.11365709110508,36.47841198958991,14.146349865965815,62.66947120860623,50.95960904044055,100.0,28.53585527293464,63.96541991158489,46.43240026582121,73.6081779080444
13,P21796;C9JI87,P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,30.772,100.0,33.81358335496672,23.80250645419637,18.779248103411007,29.131008110686235,8.339305272256441,7.192861182486572,31.078425112284652,66.6406260234341,4.265944398712236,8.217327460540906,3.2772763131526683,9.237111024813888,22.4757521233421
14,P40926,P40926,"Malate dehydrogenase, mitochondrial",MDH2,35.503,100.0,6.310904726121529,12.889954663021513,29.313298970821894,0.9160032707408682,0.18180088208467002,0.5642313429850613,36.06062770576762,56.11568642517978,10.56500705184619,1.1325829463357828,1.9525490162951638,2.018550997218698,2.755810135412458
15,P62854,P62854,40S ribosomal protein S26,RPS26,13.015,60.89047907331215,87.54272544035285,64.15776516880467,23.876160793195947,49.3763582166861,42.810798804168634,23.47753872017042,7.191100196490703,77.31440557735297,89.19579242166918,40.43005278564485,68.36392198998266,96.9894744853038,100.0
16,P04406;E7EUT5,P04406;E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,36.053,37.79817075903776,13.06256641790525,52.741423598473645,93.13124724739914,29.860619635338075,36.72676078061388,32.15335253338776,100.0,52.829741115601145,73.64813156755883,43.05714160900911,42.68058779723635,22.826256676001165,38.65467073239899
17,P11142,P11142,Heat shock cognate 71 kDa protein,HSPA8,70.897,74.14658817374774,58.1873932392923,55.02900280270522,44.40042809908179,69.53924032967738,66.5907044600359,46.45804828272281,68.14524196968793,63.16301786377709,100.0,66.3233122415159,85.08664606706193,68.68379126031927,78.26868548034024
18,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2;A0A8I5KWR0,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2,Prohibitin,PHB ,29.804,96.42507728132064,69.50143826236712,60.26406366830941,50.49259182889756,64.88174914203262,43.56366183623423,59.93615277434454,100.0,86.90425499148498,31.72777132797947,59.75486089122201,44.62894053370282,53.9352315822675,58.42145173189526
